BatchSupplier_ID,Batch_ID,Supplier_ID,Material_Lot_Number,Delivery_Date,Quality_Check_Status,On_Time_Delivery,Quantity_Received,Quantity_Accepted,Rejection_Rate,Payment_Terms,Invoice_Number,Payment_Status,Notes
BS00001,PB00001,SPL100001,ML-78542-01-S1,2024-12-15,Passed,Yes,3500,3450,1.43,Net 60,INV-SPL100001-12345,Paid,"Steel components for housing and threaded collar"
BS00002,PB00001,SPL100002,ML-78542-01-S2,2024-12-16,Passed,Yes,2800,2750,1.79,Net 45,INV-SPL100002-23456,Paid,"Steel components for center tube and springs"
BS00003,PB00001,SPL100003,ML-78542-01-S3,2024-12-14,Passed,Yes,3200,3150,1.56,Net 60,INV-SPL100003-34567,Paid,"Steel components for mesh and springs"
BS00004,PB00001,SPL100004,ML-78542-01-S4,2024-12-17,Passed,No,5800,5700,1.72,Net 30,INV-SPL100004-45678,Paid,"Steel components for end plates"
BS00005,PB00001,SPL100006,ML-78542-01-S6,2024-12-15,Passed,Yes,3000,2950,1.67,Net 60,INV-SPL100006-56789,Paid,"Rubber components for gaskets"
BS00006,PB00001,SPL100007,ML-78542-01-S7,2024-12-16,Passed,Yes,2900,2850,1.72,Net 45,INV-SPL100007-67890,Paid,"Rubber components for valves"
BS00007,PB00001,SPL100008,ML-78542-01-S8,2024-12-14,Passed,Yes,5800,5700,1.72,Net 60,INV-SPL100008-78901,Paid,"Rubber components for seals"
BS00008,PB00001,SPL100016,ML-78542-01-S16,2024-12-13,Passed,Yes,3000,2950,1.67,Net 45,INV-SPL100016-89012,Paid,"Filter media components"
BS00009,PB00001,SPL100017,ML-78542-01-S17,2024-12-15,Passed,Yes,2900,2850,1.72,Net 30,INV-SPL100017-90123,Paid,"Filter media components"
BS00010,PB00001,SPL100018,ML-78542-01-S18,2024-12-16,Passed,Yes,2950,2900,1.69,Net 45,INV-SPL100018-01234,Paid,"Filter media components"
BS00011,PB00021,SPL100001,ML-23456-01-S1,2024-12-18,Passed,Yes,3450,3400,1.45,Net 60,INV-SPL100001-12346,Paid,"Steel components for housing and threaded collar"
BS00012,PB00021,SPL100002,ML-23456-01-S2,2024-12-19,Passed,Yes,2750,2700,1.82,Net 45,INV-SPL100002-23457,Paid,"Steel components for center tube and springs"
BS00013,PB00021,SPL100003,ML-23456-01-S3,2024-12-17,Passed,Yes,3150,3100,1.59,Net 60,INV-SPL100003-34568,Paid,"Steel components for mesh and springs"
BS00014,PB00021,SPL100004,ML-23456-01-S4,2024-12-20,Passed,No,5750,5650,1.74,Net 30,INV-SPL100004-45679,Paid,"Steel components for end plates"
BS00015,PB00021,SPL100006,ML-23456-01-S6,2024-12-18,Passed,Yes,2950,2900,1.69,Net 60,INV-SPL100006-56790,Paid,"Rubber components for gaskets"
BS00016,PB00021,SPL100007,ML-23456-01-S7,2024-12-19,Passed,Yes,2850,2800,1.75,Net 45,INV-SPL100007-67891,Paid,"Rubber components for valves"
BS00017,PB00021,SPL100008,ML-23456-01-S8,2024-12-17,Passed,Yes,5750,5650,1.74,Net 60,INV-SPL100008-78902,Paid,"Rubber components for seals"
BS00018,PB00021,SPL100016,ML-23456-01-S16,2024-12-16,Passed,Yes,2950,2900,1.69,Net 45,INV-SPL100016-89013,Paid,"Filter media components"
BS00019,PB00021,SPL100017,ML-23456-01-S17,2024-12-18,Passed,Yes,2850,2800,1.75,Net 30,INV-SPL100017-90124,Paid,"Filter media components"
BS00020,PB00021,SPL100018,ML-23456-01-S18,2024-12-19,Passed,Yes,2900,2850,1.72,Net 45,INV-SPL100018-01235,Paid,"Filter media components"
BS00021,PB00023,SPL100001,ML-56789-01-S1,2024-12-20,Passed,Yes,3400,3350,1.47,Net 60,INV-SPL100001-12347,Paid,"Steel components for housing and threaded collar"
BS00022,PB00023,SPL100002,ML-56789-01-S2,2024-12-21,Passed,Yes,2700,2650,1.85,Net 45,INV-SPL100002-23458,Paid,"Steel components for center tube and springs"
BS00023,PB00023,SPL100003,ML-56789-01-S3,2024-12-19,Passed,Yes,3100,3050,1.61,Net 60,INV-SPL100003-34569,Paid,"Steel components for mesh and springs"
BS00024,PB00023,SPL100004,ML-56789-01-S4,2024-12-22,Passed,No,5700,5600,1.75,Net 30,INV-SPL100004-45680,Paid,"Steel components for end plates"
BS00025,PB00023,SPL100006,ML-56789-01-S6,2024-12-20,Passed,Yes,2900,2850,1.72,Net 60,INV-SPL100006-56791,Paid,"Rubber components for gaskets"
BS00026,PB00023,SPL100007,ML-56789-01-S7,2024-12-21,Passed,Yes,2800,2750,1.79,Net 45,INV-SPL100007-67892,Paid,"Rubber components for valves"
BS00027,PB00023,SPL100008,ML-56789-01-S8,2024-12-19,Passed,Yes,5700,5600,1.75,Net 60,INV-SPL100008-78903,Paid,"Rubber components for seals"
BS00028,PB00023,SPL100016,ML-56789-01-S16,2024-12-18,Passed,Yes,2900,2850,1.72,Net 45,INV-SPL100016-89014,Paid,"Filter media components"
BS00029,PB00023,SPL100017,ML-56789-01-S17,2024-12-20,Passed,Yes,2800,2750,1.79,Net 30,INV-SPL100017-90125,Paid,"Filter media components"
BS00030,PB00023,SPL100018,ML-56789-01-S18,2024-12-21,Passed,Yes,2850,2800,1.75,Net 45,INV-SPL100018-01236,Paid,"Filter media components"
BS00031,PB00042,SPL100001,ML-78542-03-S1,2024-12-22,Passed,Yes,3550,3500,1.41,Net 60,INV-SPL100001-12348,Paid,"Steel components for housing and threaded collar"
BS00032,PB00042,SPL100002,ML-78542-03-S2,2024-12-23,Passed,Yes,2850,2800,1.75,Net 45,INV-SPL100002-23459,Paid,"Steel components for center tube and springs"
BS00033,PB00042,SPL100003,ML-78542-03-S3,2024-12-21,Passed,Yes,3250,3200,1.54,Net 60,INV-SPL100003-34570,Paid,"Steel components for mesh and springs"
BS00034,PB00042,SPL100004,ML-78542-03-S4,2024-12-24,Passed,Yes,5850,5750,1.71,Net 30,INV-SPL100004-45681,Paid,"Steel components for end plates"
BS00035,PB00042,SPL100006,ML-78542-03-S6,2024-12-22,Passed,Yes,3050,3000,1.64,Net 60,INV-SPL100006-56792,Paid,"Rubber components for gaskets"
BS00036,PB00042,SPL100007,ML-78542-03-S7,2024-12-23,Passed,Yes,2950,2900,1.69,Net 45,INV-SPL100007-67893,Paid,"Rubber components for valves"
BS00037,PB00042,SPL100008,ML-78542-03-S8,2024-12-21,Passed,Yes,5850,5750,1.71,Net 60,INV-SPL100008-78904,Paid,"Rubber components for seals"
BS00038,PB00042,SPL100016,ML-78542-03-S16,2024-12-20,Passed,Yes,3050,3000,1.64,Net 45,INV-SPL100016-89015,Paid,"Filter media components"
BS00039,PB00042,SPL100017,ML-78542-03-S17,2024-12-22,Passed,Yes,2950,2900,1.69,Net 30,INV-SPL100017-90126,Paid,"Filter media components"
BS00040,PB00042,SPL100018,ML-78542-03-S18,2024-12-23,Passed,Yes,3000,2950,1.67,Net 45,INV-SPL100018-01237,Paid,"Filter media components"
BS00041,PB00062,SPL100001,ML-78542-15-S1,2025-01-05,Passed,Yes,3600,3550,1.39,Net 60,INV-SPL100001-12349,Paid,"Steel components for housing and threaded collar"
BS00042,PB00062,SPL100002,ML-78542-15-S2,2025-01-06,Passed,Yes,2900,2850,1.72,Net 45,INV-SPL100002-23460,Paid,"Steel components for center tube and springs"
BS00043,PB00062,SPL100003,ML-78542-15-S3,2025-01-04,Passed,Yes,3300,3250,1.52,Net 60,INV-SPL100003-34571,Paid,"Steel components for mesh and springs"
BS00044,PB00062,SPL100004,ML-78542-15-S4,2025-01-07,Passed,Yes,5900,5800,1.69,Net 30,INV-SPL100004-45682,Paid,"Steel components for end plates"
BS00045,PB00062,SPL100006,ML-78542-15-S6,2025-01-05,Passed,Yes,3100,3050,1.61,Net 60,INV-SPL100006-56793,Paid,"Rubber components for gaskets"
BS00046,PB00062,SPL100007,ML-78542-15-S7,2025-01-06,Passed,Yes,3000,2950,1.67,Net 45,INV-SPL100007-67894,Paid,"Rubber components for valves"
BS00047,PB00062,SPL100008,ML-78542-15-S8,2025-01-04,Passed,Yes,5900,5800,1.69,Net 60,INV-SPL100008-78905,Paid,"Rubber components for seals"
BS00048,PB00062,SPL100016,ML-78542-15-S16,2025-01-03,Passed,Yes,3100,3050,1.61,Net 45,INV-SPL100016-89016,Paid,"Filter media components"
BS00049,PB00062,SPL100017,ML-78542-15-S17,2025-01-05,Passed,Yes,3000,2950,1.67,Net 30,INV-SPL100017-90127,Paid,"Filter media components"
BS00050,PB00062,SPL100018,ML-78542-15-S18,2025-01-06,Passed,Yes,3050,3000,1.64,Net 45,INV-SPL100018-01238,Paid,"Filter media components"
BS00051,PB00082,SPL100001,ML-78542-31-S1,2025-01-20,Passed,Yes,3650,3600,1.37,Net 60,INV-SPL100001-12350,Paid,"Steel components for housing and threaded collar"
BS00052,PB00082,SPL100002,ML-78542-31-S2,2025-01-21,Passed,Yes,2950,2900,1.69,Net 45,INV-SPL100002-23461,Paid,"Steel components for center tube and springs"
BS00053,PB00082,SPL100003,ML-78542-31-S3,2025-01-19,Passed,Yes,3350,3300,1.49,Net 60,INV-SPL100003-34572,Paid,"Steel components for mesh and springs"
BS00054,PB00082,SPL100004,ML-78542-31-S4,2025-01-22,Passed,Yes,5950,5850,1.68,Net 30,INV-SPL100004-45683,Paid,"Steel components for end plates"
BS00055,PB00082,SPL100006,ML-78542-31-S6,2025-01-20,Passed,Yes,3150,3100,1.59,Net 60,INV-SPL100006-56794,Paid,"Rubber components for gaskets"
BS00056,PB00082,SPL100007,ML-78542-31-S7,2025-01-21,Passed,Yes,3050,3000,1.64,Net 45,INV-SPL100007-67895,Paid,"Rubber components for valves"
BS00057,PB00082,SPL100008,ML-78542-31-S8,2025-01-19,Passed,Yes,5950,5850,1.68,Net 60,INV-SPL100008-78906,Paid,"Rubber components for seals"
BS00058,PB00082,SPL100016,ML-78542-31-S16,2025-01-18,Passed,Yes,3150,3100,1.59,Net 45,INV-SPL100016-89017,Paid,"Filter media components"
BS00059,PB00082,SPL100017,ML-78542-31-S17,2025-01-20,Passed,Yes,3050,3000,1.64,Net 30,INV-SPL100017-90128,Paid,"Filter media components"
BS00060,PB00082,SPL100018,ML-78542-31-S18,2025-01-21,Passed,Yes,3100,3050,1.61,Net 45,INV-SPL100018-01239,Paid,"Filter media components"
BS00061,PB00102,SPL100001,ML-78542-32-S1,2025-01-22,Passed,Yes,3550,3500,1.41,Net 60,INV-SPL100001-12351,Paid,"Steel components for housing and threaded collar"
BS00062,PB00102,SPL100002,ML-78542-32-S2,2025-01-23,Passed,Yes,2850,2800,1.75,Net 45,INV-SPL100002-23462,Paid,"Steel components for center tube and springs"
BS00063,PB00102,SPL100003,ML-78542-32-S3,2025-01-21,Passed,Yes,3250,3200,1.54,Net 60,INV-SPL100003-34573,Paid,"Steel components for mesh and springs"
BS00064,PB00102,SPL100004,ML-78542-32-S4,2025-01-24,Passed,No,5850,5750,1.71,Net 30,INV-SPL100004-45684,Paid,"Steel components for end plates"
BS00065,PB00102,SPL100006,ML-78542-32-S6,2025-01-22,Passed,Yes,3050,3000,1.64,Net 60,INV-SPL100006-56795,Paid,"Rubber components for gaskets"
BS00066,PB00102,SPL100007,ML-78542-32-S7,2025-01-23,Passed,Yes,2950,2900,1.69,Net 45,INV-SPL100007-67896,Paid,"Rubber components for valves"
BS00067,PB00102,SPL100008,ML-78542-32-S8,2025-01-21,Passed,Yes,5850,5750,1.71,Net 60,INV-SPL100008-78907,Paid,"Rubber components for seals"
BS00068,PB00102,SPL100016,ML-78542-32-S16,2025-01-20,Passed,Yes,3050,3000,1.64,Net 45,INV-SPL100016-89018,Paid,"Filter media components"
BS00069,PB00102,SPL100017,ML-78542-32-S17,2025-01-22,Passed,Yes,2950,2900,1.69,Net 30,INV-SPL100017-90129,Paid,"Filter media components"
BS00070,PB00102,SPL100018,ML-78542-32-S18,2025-01-23,Passed,Yes,3000,2950,1.67,Net 45,INV-SPL100018-01240,Paid,"Filter media components"
BS00071,PB00122,SPL100001,ML-23456-32-S1,2025-01-24,Passed,Yes,3500,3450,1.43,Net 60,INV-SPL100001-12352,Paid,"Steel components for housing and threaded collar"
BS00072,PB00122,SPL100002,ML-23456-32-S2,2025-01-25,Passed,Yes,2800,2750,1.79,Net 45,INV-SPL100002-23463,Paid,"Steel components for center tube and springs"
BS00073,PB00122,SPL100003,ML-23456-32-S3,2025-01-23,Passed,Yes,3200,3150,1.56,Net 60,INV-SPL100003-34574,Paid,"Steel components for mesh and springs"
BS00074,PB00122,SPL100004,ML-23456-32-S4,2025-01-26,Passed,Yes,5800,5700,1.72,Net 30,INV-SPL100004-45685,Paid,"Steel components for end plates"
BS00075,PB00122,SPL100006,ML-23456-32-S6,2025-01-24,Passed,Yes,3000,2950,1.67,Net 60,INV-SPL100006-56796,Paid,"Rubber components for gaskets"
BS00076,PB00122,SPL100007,ML-23456-32-S7,2025-01-25,Passed,Yes,2900,2850,1.72,Net 45,INV-SPL100007-67897,Paid,"Rubber components for valves"
BS00077,PB00122,SPL100008,ML-23456-32-S8,2025-01-23,Passed,Yes,5800,5700,1.72,Net 60,INV-SPL100008-78908,Paid,"Rubber components for seals"
BS00078,PB00122,SPL100016,ML-23456-32-S16,2025-01-22,Passed,Yes,3000,2950,1.67,Net 45,INV-SPL100016-89019,Paid,"Filter media components"
BS00079,PB00122,SPL100017,ML-23456-32-S17,2025-01-24,Passed,Yes,2900,2850,1.72,Net 30,INV-SPL100017-90130,Paid,"Filter media components"
BS00080,PB00122,SPL100018,ML-23456-32-S18,2025-01-25,Passed,Yes,2950,2900,1.69,Net 45,INV-SPL100018-01241,Paid,"Filter media components"
BS00081,PB00124,SPL100001,ML-56789-32-S1,2025-01-26,Passed,Yes,3450,3400,1.45,Net 60,INV-SPL100001-12353,Paid,"Steel components for housing and threaded collar"
BS00082,PB00124,SPL100002,ML-56789-32-S2,2025-01-27,Passed,Yes,2750,2700,1.82,Net 45,INV-SPL100002-23464,Paid,"Steel components for center tube and springs"
BS00083,PB00124,SPL100003,ML-56789-32-S3,2025-01-25,Passed,Yes,3150,3100,1.59,Net 60,INV-SPL100003-34575,Paid,"Steel components for mesh and springs"
BS00084,PB00124,SPL100004,ML-56789-32-S4,2025-01-28,Passed,No,5750,5650,1.74,Net 30,INV-SPL100004-45686,Paid,"Steel components for end plates"
BS00085,PB00124,SPL100006,ML-56789-32-S6,2025-01-26,Passed,Yes,2950,2900,1.69,Net 60,INV-SPL100006-56797,Paid,"Rubber components for gaskets"
BS00086,PB00124,SPL100007,ML-56789-32-S7,2025-01-27,Passed,Yes,2850,2800,1.75,Net 45,INV-SPL100007-67898,Paid,"Rubber components for valves"
BS00087,PB00124,SPL100008,ML-56789-32-S8,2025-01-25,Passed,Yes,5750,5650,1.74,Net 60,INV-SPL100008-78909,Paid,"Rubber components for seals"
BS00088,PB00124,SPL100016,ML-56789-32-S16,2025-01-24,Passed,Yes,2950,2900,1.69,Net 45,INV-SPL100016-89020,Paid,"Filter media components"
BS00089,PB00124,SPL100017,ML-56789-32-S17,2025-01-26,Passed,Yes,2850,2800,1.75,Net 30,INV-SPL100017-90131,Paid,"Filter media components"
BS00090,PB00124,SPL100018,ML-56789-32-S18,2025-01-27,Passed,Yes,2900,2850,1.72,Net 45,INV-SPL100018-01242,Paid,"Filter media components"
BS00091,PB00143,SPL100001,ML-78542-59-S1,2025-02-10,Passed,Yes,3600,3550,1.39,Net 60,INV-SPL100001-12354,Paid,"Steel components for housing and threaded collar"
BS00092,PB00143,SPL100002,ML-78542-59-S2,2025-02-11,Passed,Yes,2900,2850,1.72,Net 45,INV-SPL100002-23465,Paid,"Steel components for center tube and springs"
BS00093,PB00143,SPL100003,ML-78542-59-S3,2025-02-09,Passed,Yes,3300,3250,1.52,Net 60,INV-SPL100003-34576,Paid,"Steel components for mesh and springs"
BS00094,PB00143,SPL100004,ML-78542-59-S4,2025-02-12,Passed,Yes,5900,5800,1.69,Net 30,INV-SPL100004-45687,Paid,"Steel components for end plates"
