BatchSupplier_ID,Batch_ID,Supplier_ID,Material_Lot_Number,Delivery_Date,Quality_Check_Status,On_Time_Delivery,Quantity_Received,Quantity_Accepted,Rejection_Rate,Payment_Terms,Invoice_Number,Payment_Status,Notes
BS00095,PB00143,SPL100006,ML-78542-59-S6,2025-02-10,Passed,Yes,3100,3050,1.61,Net 60,INV-SPL100006-56798,Paid,"Rubber components for gaskets"
BS00096,PB00143,SPL100007,ML-78542-59-S7,2025-02-11,Passed,Yes,3000,2950,1.67,Net 45,INV-SPL100007-67899,Paid,"Rubber components for valves"
BS00097,PB00143,SPL100008,ML-78542-59-S8,2025-02-09,Passed,Yes,5900,5800,1.69,Net 60,INV-SPL100008-78910,Paid,"Rubber components for seals"
BS00098,PB00143,SPL100016,ML-78542-59-S16,2025-02-08,Passed,Yes,3100,3050,1.61,Net 45,INV-SPL100016-89021,Paid,"Filter media components"
BS00099,PB00143,SPL100017,ML-78542-59-S17,2025-02-10,Passed,Yes,3000,2950,1.67,Net 30,INV-SPL100017-90132,Paid,"Filter media components"
BS00100,PB00143,SPL100018,ML-78542-59-S18,2025-02-11,Passed,Yes,3050,3000,1.64,Net 45,INV-SPL100018-01243,Paid,"Filter media components"
BS00101,PB00163,SPL100001,ML-78542-60-S1,2025-02-12,Passed,Yes,3650,3600,1.37,Net 60,INV-SPL100001-12355,Paid,"Steel components for housing and threaded collar"
BS00102,PB00163,SPL100002,ML-78542-60-S2,2025-02-13,Passed,Yes,2950,2900,1.69,Net 45,INV-SPL100002-23466,Paid,"Steel components for center tube and springs"
BS00103,PB00163,SPL100003,ML-78542-60-S3,2025-02-11,Passed,Yes,3350,3300,1.49,Net 60,INV-SPL100003-34577,Paid,"Steel components for mesh and springs"
BS00104,PB00163,SPL100004,ML-78542-60-S4,2025-02-14,Passed,Yes,5950,5850,1.68,Net 30,INV-SPL100004-45688,Paid,"Steel components for end plates"
BS00105,PB00163,SPL100006,ML-78542-60-S6,2025-02-12,Passed,Yes,3150,3100,1.59,Net 60,INV-SPL100006-56799,Paid,"Rubber components for gaskets"
BS00106,PB00163,SPL100007,ML-78542-60-S7,2025-02-13,Passed,Yes,3050,3000,1.64,Net 45,INV-SPL100007-67900,Paid,"Rubber components for valves"
BS00107,PB00163,SPL100008,ML-78542-60-S8,2025-02-11,Passed,Yes,5950,5850,1.68,Net 60,INV-SPL100008-78911,Paid,"Rubber components for seals"
BS00108,PB00163,SPL100016,ML-78542-60-S16,2025-02-10,Passed,Yes,3150,3100,1.59,Net 45,INV-SPL100016-89022,Paid,"Filter media components"
BS00109,PB00163,SPL100017,ML-78542-60-S17,2025-02-12,Passed,Yes,3050,3000,1.64,Net 30,INV-SPL100017-90133,Paid,"Filter media components"
BS00110,PB00163,SPL100018,ML-78542-60-S18,2025-02-13,Passed,Yes,3100,3050,1.61,Net 45,INV-SPL100018-01244,Paid,"Filter media components"
BS00111,PB00183,SPL100001,ML-23456-60-S1,2025-02-14,Passed,Yes,3550,3500,1.41,Net 60,INV-SPL100001-12356,Paid,"Steel components for housing and threaded collar"
BS00112,PB00183,SPL100002,ML-23456-60-S2,2025-02-15,Passed,Yes,2850,2800,1.75,Net 45,INV-SPL100002-23467,Paid,"Steel components for center tube and springs"
BS00113,PB00183,SPL100003,ML-23456-60-S3,2025-02-13,Passed,Yes,3250,3200,1.54,Net 60,INV-SPL100003-34578,Paid,"Steel components for mesh and springs"
BS00114,PB00183,SPL100004,ML-23456-60-S4,2025-02-16,Passed,No,5850,5750,1.71,Net 30,INV-SPL100004-45689,Paid,"Steel components for end plates"
BS00115,PB00183,SPL100006,ML-23456-60-S6,2025-02-14,Passed,Yes,3050,3000,1.64,Net 60,INV-SPL100006-56800,Paid,"Rubber components for gaskets"
BS00116,PB00183,SPL100007,ML-23456-60-S7,2025-02-15,Passed,Yes,2950,2900,1.69,Net 45,INV-SPL100007-67901,Paid,"Rubber components for valves"
BS00117,PB00183,SPL100008,ML-23456-60-S8,2025-02-13,Passed,Yes,5850,5750,1.71,Net 60,INV-SPL100008-78912,Paid,"Rubber components for seals"
BS00118,PB00183,SPL100016,ML-23456-60-S16,2025-02-12,Passed,Yes,3050,3000,1.64,Net 45,INV-SPL100016-89023,Paid,"Filter media components"
BS00119,PB00183,SPL100017,ML-23456-60-S17,2025-02-14,Passed,Yes,2950,2900,1.69,Net 30,INV-SPL100017-90134,Paid,"Filter media components"
BS00120,PB00183,SPL100018,ML-23456-60-S18,2025-02-15,Passed,Yes,3000,2950,1.67,Net 45,INV-SPL100018-01245,Paid,"Filter media components"
BS00121,PB00185,SPL100001,ML-56789-60-S1,2025-02-16,Passed,Yes,3500,3450,1.43,Net 60,INV-SPL100001-12357,Paid,"Steel components for housing and threaded collar"
BS00122,PB00185,SPL100002,ML-56789-60-S2,2025-02-17,Passed,Yes,2800,2750,1.79,Net 45,INV-SPL100002-23468,Paid,"Steel components for center tube and springs"
BS00123,PB00185,SPL100003,ML-56789-60-S3,2025-02-15,Passed,Yes,3200,3150,1.56,Net 60,INV-SPL100003-34579,Paid,"Steel components for mesh and springs"
BS00124,PB00185,SPL100004,ML-56789-60-S4,2025-02-18,Passed,Yes,5800,5700,1.72,Net 30,INV-SPL100004-45690,Paid,"Steel components for end plates"
BS00125,PB00185,SPL100006,ML-56789-60-S6,2025-02-16,Passed,Yes,3000,2950,1.67,Net 60,INV-SPL100006-56801,Paid,"Rubber components for gaskets"
BS00126,PB00185,SPL100007,ML-56789-60-S7,2025-02-17,Passed,Yes,2900,2850,1.72,Net 45,INV-SPL100007-67902,Paid,"Rubber components for valves"
BS00127,PB00185,SPL100008,ML-56789-60-S8,2025-02-15,Passed,Yes,5800,5700,1.72,Net 60,INV-SPL100008-78913,Paid,"Rubber components for seals"
BS00128,PB00185,SPL100016,ML-56789-60-S16,2025-02-14,Passed,Yes,3000,2950,1.67,Net 45,INV-SPL100016-89024,Paid,"Filter media components"
BS00129,PB00185,SPL100017,ML-56789-60-S17,2025-02-16,Passed,Yes,2900,2850,1.72,Net 30,INV-SPL100017-90135,Paid,"Filter media components"
BS00130,PB00185,SPL100018,ML-56789-60-S18,2025-02-17,Passed,Yes,2950,2900,1.69,Net 45,INV-SPL100018-01246,Paid,"Filter media components"
BS00131,PB00204,SPL100001,ML-78542-90-S1,2025-03-10,Passed,Yes,3700,3650,1.35,Net 60,INV-SPL100001-12358,Paid,"Steel components for housing and threaded collar"
BS00132,PB00204,SPL100002,ML-78542-90-S2,2025-03-11,Passed,Yes,3000,2950,1.67,Net 45,INV-SPL100002-23469,Paid,"Steel components for center tube and springs"
BS00133,PB00204,SPL100003,ML-78542-90-S3,2025-03-09,Passed,Yes,3400,3350,1.47,Net 60,INV-SPL100003-34580,Paid,"Steel components for mesh and springs"
BS00134,PB00204,SPL100004,ML-78542-90-S4,2025-03-12,Passed,Yes,6000,5900,1.67,Net 30,INV-SPL100004-45691,Paid,"Steel components for end plates"
BS00135,PB00204,SPL100006,ML-78542-90-S6,2025-03-10,Passed,Yes,3200,3150,1.56,Net 60,INV-SPL100006-56802,Paid,"Rubber components for gaskets"
BS00136,PB00204,SPL100007,ML-78542-90-S7,2025-03-11,Passed,Yes,3100,3050,1.61,Net 45,INV-SPL100007-67903,Paid,"Rubber components for valves"
BS00137,PB00204,SPL100008,ML-78542-90-S8,2025-03-09,Passed,Yes,6000,5900,1.67,Net 60,INV-SPL100008-78914,Paid,"Rubber components for seals"
BS00138,PB00204,SPL100016,ML-78542-90-S16,2025-03-08,Passed,Yes,3200,3150,1.56,Net 45,INV-SPL100016-89025,Paid,"Filter media components"
BS00139,PB00204,SPL100017,ML-78542-90-S17,2025-03-10,Passed,Yes,3100,3050,1.61,Net 30,INV-SPL100017-90136,Paid,"Filter media components"
BS00140,PB00204,SPL100018,ML-78542-90-S18,2025-03-11,Passed,Yes,3150,3100,1.59,Net 45,INV-SPL100018-01247,Paid,"Filter media components"
BS00141,PB00224,SPL100001,ML-78542-90-S1,2025-03-12,Passed,Yes,3650,3600,1.37,Net 60,INV-SPL100001-12359,Paid,"Steel components for housing and threaded collar"
BS00142,PB00224,SPL100002,ML-78542-90-S2,2025-03-13,Passed,Yes,2950,2900,1.69,Net 45,INV-SPL100002-23470,Paid,"Steel components for center tube and springs"
BS00143,PB00224,SPL100003,ML-78542-90-S3,2025-03-11,Passed,Yes,3350,3300,1.49,Net 60,INV-SPL100003-34581,Paid,"Steel components for mesh and springs"
BS00144,PB00224,SPL100004,ML-78542-90-S4,2025-03-14,Passed,No,5950,5850,1.68,Net 30,INV-SPL100004-45692,Paid,"Steel components for end plates"
BS00145,PB00224,SPL100006,ML-78542-90-S6,2025-03-12,Passed,Yes,3150,3100,1.59,Net 60,INV-SPL100006-56803,Paid,"Rubber components for gaskets"
BS00146,PB00224,SPL100007,ML-78542-90-S7,2025-03-13,Passed,Yes,3050,3000,1.64,Net 45,INV-SPL100007-67904,Paid,"Rubber components for valves"
BS00147,PB00224,SPL100008,ML-78542-90-S8,2025-03-11,Passed,Yes,5950,5850,1.68,Net 60,INV-SPL100008-78915,Paid,"Rubber components for seals"
BS00148,PB00224,SPL100016,ML-78542-90-S16,2025-03-10,Passed,Yes,3150,3100,1.59,Net 45,INV-SPL100016-89026,Paid,"Filter media components"
BS00149,PB00224,SPL100017,ML-78542-90-S17,2025-03-12,Passed,Yes,3050,3000,1.64,Net 30,INV-SPL100017-90137,Paid,"Filter media components"
BS00150,PB00224,SPL100018,ML-78542-90-S18,2025-03-13,Passed,Yes,3100,3050,1.61,Net 45,INV-SPL100018-01248,Paid,"Filter media components"
BS00151,PB00244,SPL100001,ML-23456-90-S1,2025-03-14,Passed,Yes,3600,3550,1.39,Net 60,INV-SPL100001-12360,Paid,"Steel components for housing and threaded collar"
BS00152,PB00244,SPL100002,ML-23456-90-S2,2025-03-15,Passed,Yes,2900,2850,1.72,Net 45,INV-SPL100002-23471,Paid,"Steel components for center tube and springs"
BS00153,PB00244,SPL100003,ML-23456-90-S3,2025-03-13,Passed,Yes,3300,3250,1.52,Net 60,INV-SPL100003-34582,Paid,"Steel components for mesh and springs"
BS00154,PB00244,SPL100004,ML-23456-90-S4,2025-03-16,Passed,Yes,5900,5800,1.69,Net 30,INV-SPL100004-45693,Paid,"Steel components for end plates"
BS00155,PB00244,SPL100006,ML-23456-90-S6,2025-03-14,Passed,Yes,3100,3050,1.61,Net 60,INV-SPL100006-56804,Paid,"Rubber components for gaskets"
BS00156,PB00244,SPL100007,ML-23456-90-S7,2025-03-15,Passed,Yes,3000,2950,1.67,Net 45,INV-SPL100007-67905,Paid,"Rubber components for valves"
BS00157,PB00244,SPL100008,ML-23456-90-S8,2025-03-13,Passed,Yes,5900,5800,1.69,Net 60,INV-SPL100008-78916,Paid,"Rubber components for seals"
BS00158,PB00244,SPL100016,ML-23456-90-S16,2025-03-12,Passed,Yes,3100,3050,1.61,Net 45,INV-SPL100016-89027,Paid,"Filter media components"
BS00159,PB00244,SPL100017,ML-23456-90-S17,2025-03-14,Passed,Yes,3000,2950,1.67,Net 30,INV-SPL100017-90138,Paid,"Filter media components"
BS00160,PB00244,SPL100018,ML-23456-90-S18,2025-03-15,Passed,Yes,3050,3000,1.64,Net 45,INV-SPL100018-01249,Paid,"Filter media components"
BS00161,PB00246,SPL100001,ML-56789-90-S1,2025-03-16,Passed,Yes,3550,3500,1.41,Net 60,INV-SPL100001-12361,Paid,"Steel components for housing and threaded collar"
BS00162,PB00246,SPL100002,ML-56789-90-S2,2025-03-17,Passed,Yes,2850,2800,1.75,Net 45,INV-SPL100002-23472,Paid,"Steel components for center tube and springs"
BS00163,PB00246,SPL100003,ML-56789-90-S3,2025-03-15,Passed,Yes,3250,3200,1.54,Net 60,INV-SPL100003-34583,Paid,"Steel components for mesh and springs"
BS00164,PB00246,SPL100004,ML-56789-90-S4,2025-03-18,Passed,No,5850,5750,1.71,Net 30,INV-SPL100004-45694,Paid,"Steel components for end plates"
BS00165,PB00246,SPL100006,ML-56789-90-S6,2025-03-16,Passed,Yes,3050,3000,1.64,Net 60,INV-SPL100006-56805,Paid,"Rubber components for gaskets"
BS00166,PB00246,SPL100007,ML-56789-90-S7,2025-03-17,Passed,Yes,2950,2900,1.69,Net 45,INV-SPL100007-67906,Paid,"Rubber components for valves"
BS00167,PB00246,SPL100008,ML-56789-90-S8,2025-03-15,Passed,Yes,5850,5750,1.71,Net 60,INV-SPL100008-78917,Paid,"Rubber components for seals"
BS00168,PB00246,SPL100016,ML-56789-90-S16,2025-03-14,Passed,Yes,3050,3000,1.64,Net 45,INV-SPL100016-89028,Paid,"Filter media components"
BS00169,PB00246,SPL100017,ML-56789-90-S17,2025-03-16,Passed,Yes,2950,2900,1.69,Net 30,INV-SPL100017-90139,Paid,"Filter media components"
BS00170,PB00246,SPL100018,ML-56789-90-S18,2025-03-17,Passed,Yes,3000,2950,1.67,Net 45,INV-SPL100018-01250,Paid,"Filter media components"
BS00171,PB00002,SPL100001,ML-65432-01-S1,2024-12-15,Passed,Yes,3200,3150,1.56,Net 60,INV-SPL100001-12362,Paid,"Steel components for economy filter"
BS00172,PB00002,SPL100002,ML-65432-01-S2,2024-12-16,Passed,Yes,2600,2550,1.92,Net 45,INV-SPL100002-23473,Paid,"Steel components for economy filter"
BS00173,PB00002,SPL100003,ML-65432-01-S3,2024-12-14,Passed,Yes,3000,2950,1.67,Net 60,INV-SPL100003-34584,Paid,"Steel components for economy filter"
BS00174,PB00002,SPL100004,ML-65432-01-S4,2024-12-17,Passed,No,5500,5400,1.82,Net 30,INV-SPL100004-45695,Paid,"Steel components for economy filter"
BS00175,PB00002,SPL100006,ML-65432-01-S6,2024-12-15,Passed,Yes,2800,2750,1.79,Net 60,INV-SPL100006-56806,Paid,"Rubber components for economy filter"
BS00176,PB00002,SPL100007,ML-65432-01-S7,2024-12-16,Passed,Yes,2700,2650,1.85,Net 45,INV-SPL100007-67907,Paid,"Rubber components for economy filter"
BS00177,PB00002,SPL100008,ML-65432-01-S8,2024-12-14,Passed,Yes,5500,5400,1.82,Net 60,INV-SPL100008-78918,Paid,"Rubber components for economy filter"
BS00178,PB00002,SPL100016,ML-65432-01-S16,2024-12-13,Passed,Yes,2800,2750,1.79,Net 45,INV-SPL100016-89029,Paid,"Filter media for economy filter"
BS00179,PB00002,SPL100017,ML-65432-01-S17,2024-12-15,Passed,Yes,2700,2650,1.85,Net 30,INV-SPL100017-90140,Paid,"Filter media for economy filter"
BS00180,PB00002,SPL100018,ML-65432-01-S18,2024-12-16,Passed,Yes,2750,2700,1.82,Net 45,INV-SPL100018-01251,Paid,"Filter media for economy filter"
BS00181,PB00003,SPL100001,ML-98765-01-S1,2024-12-15,Passed,Yes,3000,2950,1.67,Net 60,INV-SPL100001-12363,Paid,"Steel components for heavy duty filter"
BS00182,PB00003,SPL100002,ML-98765-01-S2,2024-12-16,Passed,Yes,2400,2350,2.08,Net 45,INV-SPL100002-23474,Paid,"Steel components for heavy duty filter"
BS00183,PB00003,SPL100003,ML-98765-01-S3,2024-12-14,Passed,Yes,2800,2750,1.79,Net 60,INV-SPL100003-34585,Paid,"Steel components for heavy duty filter"
BS00184,PB00003,SPL100004,ML-98765-01-S4,2024-12-17,Passed,No,5200,5100,1.92,Net 30,INV-SPL100004-45696,Paid,"Steel components for heavy duty filter"
BS00185,PB00003,SPL100006,ML-98765-01-S6,2024-12-15,Passed,Yes,2600,2550,1.92,Net 60,INV-SPL100006-56807,Paid,"Rubber components for heavy duty filter"
BS00186,PB00003,SPL100007,ML-98765-01-S7,2024-12-16,Passed,Yes,2500,2450,2.00,Net 45,INV-SPL100007-67908,Paid,"Rubber components for heavy duty filter"
BS00187,PB00003,SPL100008,ML-98765-01-S8,2024-12-14,Passed,Yes,5200,5100,1.92,Net 60,INV-SPL100008-78919,Paid,"Rubber components for heavy duty filter"
BS00188,PB00003,SPL100016,ML-98765-01-S16,2024-12-13,Passed,Yes,2600,2550,1.92,Net 45,INV-SPL100016-89030,Paid,"Filter media for heavy duty filter"
BS00189,PB00003,SPL100017,ML-98765-01-S17,2024-12-15,Passed,Yes,2500,2450,2.00,Net 30,INV-SPL100017-90141,Paid,"Filter media for heavy duty filter"
BS00190,PB00003,SPL100018,ML-98765-01-S18,2024-12-16,Passed,Yes,2550,2500,1.96,Net 45,INV-SPL100018-01252,Paid,"Filter media for heavy duty filter"
